miRNA,PMID,Entrez Gene Id
hsa-miR-122,19296470,10221
hsa-miR-122,19296470,10947
hsa-miR-122,19296470,22887
hsa-miR-122,19296470,23214
hsa-miR-122,19296470,23657
hsa-miR-122,19296470,25778
hsa-miR-122,19296470,27086
hsa-miR-122,19296470,51560
hsa-miR-122,19296470,55568
hsa-miR-122,19296470,55833
hsa-miR-122,19296470,65985
hsa-miR-122,19296470,65991
hsa-miR-122,19296470,80223
hsa-miR-122,19296470,84901
hsa-miR-122,19296470,92579
hsa-miR-122,19296470,112399
hsa-miR-122,19296470,150864
hsa-miR-122a,17612493,840
hsa-miR-122a,17612493,2997
hsa-miR-122a,17612493,3229
hsa-miR-122a,17612493,3832
hsa-miR-122a,17612493,4735
hsa-miR-122a,17612493,5376
hsa-miR-122a,17612493,6510
hsa-miR-122a,17612493,6548
hsa-miR-122a,17612493,8575
hsa-miR-122a,17612493,10444
hsa-miR-122a,17612493,10558
hsa-miR-122a,17612493,10725
hsa-miR-122a,17612493,10797
hsa-miR-122a,17612493,22911
hsa-miR-122a,17612493,23576
